Horizon,Stories,Positive Rate,ROC-AUC,ROC-AUC Std,PR-AUC,PR-AUC Std
15 min,469,0.18976545842217485,0.8995958032335741,0.03238640919059829,0.8170679337117874,0.03211489056112621
30 min,469,0.18976545842217485,0.9507395940832474,0.01496942967532369,0.9189390810474473,0.010068739954934484
60 min,469,0.18976545842217485,0.9644478844169246,0.02202011334309389,0.9413145755705976,0.03147741384007191
