Model,ROC-AUC Mean,ROC-AUC Std,PR-AUC Mean,PR-AUC Std,Train ROC-AUC Mean
Early Points Only,0.8897144822841417,0.04097126184319707,0.7382668503367513,0.050443583681052326,
Logistic Regression,0.8995958032335741,0.03238640919059829,0.8170679337117874,0.03211489056112621,0.9255192889794911
Regularized Random Forest,0.898624011007912,0.030231536199290497,0.7941926450908252,0.028087266030225756,0.9668561074046618
Regularized XGBoost,0.8839396284829721,0.04190886509558589,0.8022986551681948,0.03692084235764639,0.9479351989127748
